Solution,MaxSum,MaxMin,Cost,Capacity
3 - 4 - 6 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 22 - 29 - 30 - 34 - 35 - 38 - 39 - 43 - 45 - 48 - 49 - 50 - 51,29587.7,76.7,8322.0,6757.0
2 - 3 - 4 - 5 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 22 - 25 - 29 - 30 - 34 - 35 - 39 - 40 - 42 - 43 - 44 - 45 - 48 - 49 - 50 - 51,40729.6,66.1,8471.0,7096.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 22 - 30 - 34 - 35 - 37 - 38 - 43 - 45 - 48 - 49 - 50,25343.4,78.8,8438.0,6460.0
3 - 4 - 6 - 8 - 10 - 11 - 14 - 15 - 22 - 30 - 34 - 35 - 37 - 39 - 43 - 44 - 45 - 48 - 49 - 50,22920.1,81.4,8198.0,6097.0
3 - 4 - 6 - 8 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 48 - 49 - 50 - 51,25113.6,80.2,8226.0,6264.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50,33158.9,71.9,8385.0,7209.0
2 - 3 - 4 - 5 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 42 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,43513.5,56.2,8451.0,7816.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 48 - 49 - 50 - 51,30164.8,76.5,8333.0,6654.0
3 - 4 - 6 - 8 - 10 - 11 - 14 - 15 - 22 - 30 - 34 - 35 - 37 - 39 - 43 - 44 - 45 - 48 - 49 - 50 - 51,25014.2,80.4,8358.0,6357.0
2 - 3 - 4 - 5 - 6 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 29 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 46 - 48 - 49 - 50 - 51,35824.8,67.0,8404.0,7504.0
3 - 4 - 6 - 8 - 10 - 11 - 14 - 15 - 22 - 32 - 34 - 35 - 37 - 39 - 43 - 44 - 45 - 48 - 49 - 50,22558.7,82.9,8289.0,6219.0
6 - 9 - 10 - 11 - 15 - 30 - 34 - 37 - 44 - 45 - 48 - 49 - 50,9778.0,88.2,6910.0,4964.0
3 - 4 - 6 - 11 - 15 - 22 - 32 - 34 - 35 - 37 - 39 - 43 - 44 - 45 - 46 - 48 - 49 - 50,18566.1,83.7,8262.0,6198.0
3 - 4 - 6 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 22 - 29 - 30 - 34 - 35 - 38 - 43 - 45 - 48 - 49 - 50 - 51,27067.2,76.9,7888.0,6359.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 18 - 21 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50,35664.0,67.1,8439.0,7770.0
6 - 9 - 10 - 11 - 15 - 30 - 34 - 37 - 44 - 45 - 46 - 48 - 49 - 50,11340.3,88.0,7461.0,5485.0
3 - 4 - 8 - 11 - 15 - 16 - 22 - 30 - 37 - 39 - 42 - 44 - 45 - 48 - 49,12653.9,86.7,7564.0,5135.0
6 - 9 - 10 - 11 - 15 - 30 - 34 - 37 - 45 - 48 - 49 - 50,8363.8,89.4,6779.0,4873.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 18 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50,32726.1,72.3,8458.0,7212.0
3 - 4 - 6 - 10 - 11 - 14 - 15 - 22 - 32 - 35 - 37 - 39 - 43 - 44 - 45 - 46 - 48 - 49 - 50,20591.8,83.5,8203.0,6148.0
2 - 3 - 4 - 7 - 9 - 10 - 11 - 14 - 15 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50,30444.5,75.8,8252.0,7047.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 25 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50,33160.9,69.7,8143.0,7124.0
2 - 3 - 4 - 7 - 9 - 10 - 11 - 14 - 15 - 16 - 18 - 22 - 30 - 34 - 35 - 43 - 44 - 45 - 46 - 48 - 49,25429.1,78.6,8039.0,6475.0
2 - 3 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 25 - 29 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,38256.3,66.8,8471.0,7567.0
4 - 6 - 10 - 11 - 15 - 16 - 32 - 35 - 39 - 43 - 44 - 45 - 46 - 48 - 49 - 50,14661.2,85.6,7667.0,5645.0
3 - 4 - 6 - 8 - 11 - 15 - 16 - 30 - 37 - 39 - 42 - 44 - 45 - 48 - 49,12719.7,86.6,8369.0,5640.0
3 - 4 - 6 - 10 - 11 - 15 - 16 - 32 - 35 - 39 - 43 - 44 - 45 - 46 - 48 - 49 - 50,16623.4,84.7,7981.0,5993.0
