Solution,MaxSum,MaxMin,Cost,Capacity
2 - 5 - 6 - 7 - 9 - 11 - 12 - 13 - 14 - 20 - 26 - 30 - 32 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 48 - 50 - 51,54643.8,132.9,8308.0,7314.0
2 - 5 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 18 - 19 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 51,68044.1,117.5,8266.0,7642.0
2 - 5 - 7 - 9 - 10 - 11 - 13 - 14 - 18 - 19 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 51,63509.8,127.4,8213.0,7546.0
2 - 3 - 5 - 7 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 42 - 43 - 45 - 46 - 47 - 48 - 51,59355.0,128.3,8298.0,7385.0
2 - 5 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 18 - 20 - 23 - 26 - 27 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 51,72774.8,116.5,8304.0,7682.0
2 - 5 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 30 - 31 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 46 - 48 - 50 - 51,42555.9,140.7,8066.0,6533.0
5 - 7 - 9 - 10 - 11 - 13 - 18 - 21 - 30 - 31 - 34 - 35 - 38 - 41 - 42 - 45 - 46 - 48 - 51,32318.7,149.2,7727.0,5761.0
5 - 7 - 9 - 10 - 13 - 21 - 25 - 30 - 31 - 34 - 35 - 38 - 42 - 45 - 48,20435.9,157.3,8088.0,5633.0
5 - 7 - 9 - 10 - 11 - 13 - 18 - 21 - 30 - 31 - 34 - 35 - 38 - 42 - 45 - 48 - 51,26188.7,155.3,7102.0,5115.0
5 - 7 - 8 - 9 - 11 - 13 - 14 - 18 - 30 - 31 - 32 - 34 - 35 - 38 - 41 - 42 - 45 - 46 - 48 - 50 - 51,38785.5,143.0,8221.0,6404.0
2 - 5 - 7 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 48 - 50 - 51,59211.6,129.2,8134.0,6897.0
2 - 5 - 6 - 7 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 48 - 50 - 51,55134.6,131.1,8127.0,7177.0
5 - 7 - 9 - 10 - 13 - 18 - 21 - 30 - 31 - 34 - 35 - 38 - 41 - 42 - 45 - 46 - 48 - 51,29003.1,150.0,7659.0,5717.0
5 - 7 - 9 - 10 - 13 - 21 - 25 - 30 - 31 - 34 - 35 - 38 - 45 - 48,17657.2,157.8,7952.0,5457.0
5 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 21 - 30 - 31 - 34 - 35 - 38 - 41 - 42 - 45 - 46 - 48 - 51,35675.7,147.3,8042.0,6165.0
3 - 5 - 7 - 9 - 10 - 11 - 13 - 18 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 48 - 50 - 51,50741.1,134.6,8336.0,6836.0
2 - 5 - 7 - 8 - 9 - 11 - 13 - 14 - 18 - 30 - 32 - 34 - 35 - 38 - 41 - 42 - 45 - 46 - 48 - 49 - 50 - 51,42047.6,141.3,8271.0,6577.0
5 - 9 - 10 - 13 - 21 - 25 - 30 - 31 - 33 - 34 - 35 - 38 - 45 - 48,17589.1,158.0,8235.0,5570.0
3 - 5 - 7 - 9 - 10 - 11 - 13 - 18 - 23 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 48 - 50 - 51,46618.5,137.8,8213.0,6682.0
5 - 9 - 10 - 13 - 21 - 30 - 31 - 33 - 34 - 35 - 38 - 45 - 48,15114.2,159.2,6716.0,4662.0
2 - 5 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,63467.8,127.9,8134.0,7412.0
5 - 7 - 9 - 10 - 11 - 13 - 21 - 25 - 30 - 31 - 34 - 35 - 38 - 42 - 45 - 48,23211.7,156.9,8156.0,5677.0
