Solution,MaxSum,MaxMin,Cost,Capacity
2 - 3 - 5 - 9 - 10 - 14 - 18 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,26882.2,66.8,5649.0,5657.0
2 - 3 - 5 - 9 - 10 - 14 - 21 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 46 - 47 - 48 - 49 - 50 - 51,24889.0,67.1,5605.0,5916.0
2 - 3 - 5 - 9 - 10 - 14 - 18 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 46 - 47 - 48 - 49 - 50 - 51,24860.4,71.9,5602.0,5627.0
2 - 3 - 7 - 8 - 9 - 10 - 14 - 18 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,24300.6,72.3,5580.0,5478.0
2 - 3 - 4 - 5 - 8 - 9 - 10 - 14 - 22 - 29 - 30 - 34 - 35 - 39 - 42 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,29238.6,56.2,5570.0,5454.0
2 - 3 - 4 - 9 - 10 - 11 - 14 - 15 - 22 - 30 - 34 - 35 - 43 - 44 - 45 - 48 - 49 - 50,18973.3,81.4,5491.0,4599.0
2 - 3 - 4 - 8 - 9 - 10 - 14 - 15 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 48 - 49 - 50 - 51,22634.6,76.5,5476.0,4976.0
2 - 3 - 4 - 5 - 9 - 10 - 14 - 15 - 21 - 22 - 29 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 48 - 49 - 51,25048.4,67.0,5645.0,5609.0
2 - 10 - 11 - 15 - 21 - 32 - 34 - 35 - 39 - 44 - 45 - 48 - 49 - 50,11138.4,86.7,5187.0,4689.0
2 - 10 - 11 - 15 - 19 - 21 - 34 - 35 - 39 - 44 - 45 - 48 - 49 - 50,11180.4,85.9,5570.0,4746.0
2 - 4 - 11 - 15 - 21 - 22 - 30 - 34 - 35 - 39 - 42 - 44 - 45 - 48 - 49 - 50,14645.0,85.4,5379.0,4753.0
2 - 3 - 4 - 11 - 15 - 21 - 22 - 30 - 34 - 35 - 39 - 44 - 45 - 48 - 49 - 50,14876.6,84.7,5491.0,4926.0
2 - 3 - 4 - 5 - 8 - 9 - 10 - 14 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50 - 51,26925.5,66.4,5450.0,5300.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 14 - 15 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49,22466.5,76.7,5505.0,4993.0
2 - 3 - 4 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 34 - 35 - 43 - 44 - 45 - 48 - 49 - 50,18709.4,82.9,5539.0,4826.0
2 - 3 - 5 - 8 - 9 - 10 - 14 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 42 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,29042.0,66.1,5536.0,5434.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 14 - 15 - 22 - 30 - 34 - 35 - 43 - 44 - 45 - 48 - 49 - 50,20483.3,78.8,5323.0,4708.0
2 - 11 - 15 - 21 - 22 - 26 - 30 - 34 - 35 - 39 - 44 - 45 - 48 - 49 - 50,12939.6,85.6,5625.0,4723.0
2 - 3 - 4 - 9 - 10 - 11 - 15 - 21 - 22 - 34 - 35 - 43 - 44 - 45 - 48 - 49 - 50,16737.2,83.5,5456.0,4768.0
