Solution,MaxSum,MaxMin,Cost,Capacity
2 - 3 - 4 - 7 - 9 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49,27897.0,76.7,8251.0,6658.0
2 - 3 - 4 - 7 - 9 - 10 - 11 - 14 - 15 - 18 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49,30256.1,75.8,8222.0,7149.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 25 - 29 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50,35815.0,67.0,8427.0,7348.0
2 - 3 - 4 - 5 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 22 - 25 - 29 - 30 - 34 - 35 - 39 - 40 - 42 - 43 - 44 - 45 - 48 - 49 - 50 - 51,40729.6,66.1,8471.0,7096.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 25 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50,33160.9,69.7,8143.0,7124.0
2 - 3 - 4 - 9 - 11 - 15 - 16 - 21 - 22 - 30 - 37 - 38 - 45 - 48 - 49,13294.3,90.2,8291.0,6129.0
2 - 3 - 4 - 9 - 11 - 15 - 16 - 22 - 30 - 36 - 37 - 45 - 48 - 49,11728.1,91.2,8447.0,5739.0
2 - 3 - 4 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 32 - 34 - 35 - 37 - 43 - 44 - 45 - 48 - 49 - 50,23129.3,82.9,7839.0,6508.0
2 - 3 - 4 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 30 - 34 - 35 - 37 - 43 - 44 - 45 - 48 - 49 - 50,23458.7,81.4,7748.0,6386.0
2 - 3 - 4 - 9 - 10 - 11 - 15 - 21 - 22 - 32 - 34 - 35 - 37 - 43 - 44 - 45 - 48 - 49 - 50,20977.2,83.5,7756.0,6450.0
2 - 3 - 4 - 9 - 11 - 15 - 21 - 22 - 32 - 34 - 35 - 37 - 43 - 44 - 45 - 48 - 49 - 50,18865.8,83.7,7482.0,6110.0
2 - 3 - 4 - 7 - 9 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 43 - 44 - 45 - 46 - 48 - 49 - 50,25662.0,78.6,8069.0,6373.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 43 - 44 - 45 - 48 - 49 - 50,25421.4,78.8,7739.0,5996.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 18 - 21 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50,35664.0,67.1,8439.0,7770.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 18 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 48 - 49 - 50,32726.1,72.3,8458.0,7212.0
2 - 4 - 11 - 15 - 16 - 30 - 36 - 37 - 49 - 50,6086.8,102.5,7874.0,5127.0
2 - 3 - 4 - 9 - 11 - 15 - 16 - 21 - 22 - 32 - 35 - 43 - 44 - 45 - 48 - 49 - 50,16960.9,84.5,6934.0,5569.0
2 - 4 - 9 - 11 - 15 - 16 - 21 - 22 - 30 - 37 - 44 - 45 - 48 - 49 - 50,13390.9,88.2,7976.0,5850.0
