Solution,MaxSum,MaxMin,Cost,Capacity
2 - 4 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 26 - 29 - 30 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 80 - 81 - 85 - 88 - 89 - 90 - 92 - 96 - 98 - 105 - 106 - 107 - 111 - 113 - 115 - 121 - 123 - 124 - 132 - 137 - 139 - 141 - 146 - 147 - 150,325733.1,125.3,18229.0,21942.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 23 - 25 - 29 - 30 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 82 - 85 - 88 - 89 - 92 - 96 - 98 - 105 - 106 - 107 - 113 - 115 - 121 - 123 - 124 - 132 - 133 - 137 - 139 - 141 - 143 - 146 - 147 - 150,365126.3,122.0,18288.0,21961.0
2 - 4 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 29 - 30 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 65 - 66 - 68 - 74 - 80 - 81 - 82 - 85 - 88 - 89 - 90 - 92 - 96 - 98 - 105 - 106 - 107 - 113 - 115 - 121 - 123 - 124 - 132 - 137 - 139 - 141 - 143 - 146 - 147 - 150,335683.3,123.5,18265.0,21935.0
2 - 4 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 27 - 29 - 30 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 80 - 81 - 85 - 88 - 89 - 90 - 92 - 96 - 98 - 105 - 106 - 107 - 111 - 113 - 115 - 121 - 123 - 124 - 132 - 137 - 139 - 141 - 143 - 146 - 147 - 150,326259.4,124.2,18170.0,21954.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 26 - 28 - 29 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 85 - 88 - 89 - 90 - 92 - 96 - 97 - 98 - 100 - 105 - 106 - 107 - 113 - 115 - 121 - 122 - 123 - 124 - 132 - 136 - 137 - 139 - 141 - 143 - 146 - 147 - 150,398406.2,114.4,18295.0,22062.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 26 - 28 - 29 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 85 - 88 - 89 - 90 - 92 - 96 - 98 - 100 - 105 - 106 - 107 - 113 - 115 - 121 - 122 - 123 - 124 - 132 - 136 - 137 - 139 - 141 - 143 - 146 - 147 - 150,387171.0,117.0,18267.0,22047.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 23 - 25 - 29 - 30 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 82 - 85 - 88 - 89 - 92 - 96 - 98 - 104 - 105 - 106 - 107 - 113 - 115 - 121 - 122 - 123 - 124 - 132 - 136 - 137 - 139 - 141 - 143 - 146 - 147 - 150,387070.7,117.7,18278.0,21983.0
2 - 4 - 10 - 11 - 13 - 15 - 17 - 21 - 23 - 25 - 29 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 80 - 81 - 85 - 88 - 89 - 90 - 92 - 96 - 98 - 101 - 105 - 106 - 107 - 113 - 115 - 121 - 123 - 124 - 132 - 133 - 137 - 139 - 141 - 143 - 146 - 147 - 150,345282.9,123.4,18189.0,21935.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 22 - 25 - 28 - 29 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 59 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 82 - 85 - 88 - 89 - 92 - 96 - 97 - 98 - 104 - 105 - 106 - 107 - 113 - 115 - 121 - 122 - 123 - 124 - 132 - 136 - 137 - 139 - 141 - 143 - 146 - 147 - 150,408201.8,110.3,18245.0,22223.0
2 - 4 - 6 - 10 - 11 - 13 - 15 - 17 - 21 - 25 - 29 - 30 - 33 - 34 - 35 - 36 - 37 - 39 - 40 - 41 - 43 - 45 - 46 - 47 - 49 - 51 - 52 - 55 - 58 - 60 - 61 - 62 - 63 - 66 - 68 - 74 - 75 - 80 - 81 - 82 - 85 - 88 - 89 - 92 - 96 - 98 - 105 - 106 - 107 - 112 - 113 - 115 - 121 - 123 - 124 - 132 - 133 - 137 - 139 - 141 - 143 - 146 - 147 - 150,366623.7,121.2,18270.0,21937.0
