Solution,MaxSum,MaxMin,Cost,Capacity
4 - 6 - 7 - 10 - 11 - 14 - 19 - 26 - 30 - 31 - 33 - 37 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 62 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 104 - 105 - 106 - 107 - 109 - 112 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 143 - 145 - 147 - 150,234978.7,55.3,19098.0,22966.0
6 - 7 - 10 - 11 - 14 - 15 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 48 - 51 - 55 - 58 - 59 - 60 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 104 - 105 - 106 - 107 - 109 - 112 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 143 - 145 - 147 - 150,214398.3,56.3,19043.0,22939.0
6 - 7 - 10 - 11 - 14 - 15 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 48 - 51 - 55 - 58 - 59 - 60 - 62 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 105 - 106 - 107 - 109 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,213679.9,56.5,19160.0,23133.0
4 - 6 - 7 - 10 - 11 - 14 - 18 - 19 - 26 - 30 - 31 - 33 - 37 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 62 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 94 - 95 - 97 - 103 - 105 - 106 - 107 - 112 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,248866.9,44.4,19047.0,23154.0
4 - 6 - 7 - 10 - 11 - 14 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 66 - 67 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 94 - 95 - 97 - 103 - 105 - 106 - 107 - 112 - 115 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,243178.7,48.2,19166.0,23276.0
6 - 7 - 10 - 11 - 14 - 15 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 48 - 51 - 55 - 58 - 59 - 60 - 62 - 66 - 70 - 71 - 73 - 76 - 77 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 105 - 106 - 107 - 109 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,206744.3,56.8,19116.0,23064.0
3 - 4 - 6 - 7 - 10 - 11 - 14 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 97 - 103 - 105 - 106 - 107 - 112 - 115 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,236226.8,53.5,19164.0,23021.0
4 - 6 - 7 - 10 - 11 - 14 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 64 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 97 - 103 - 105 - 106 - 107 - 112 - 115 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 143 - 145 - 147 - 150,236768.1,53.2,19149.0,23191.0
6 - 7 - 10 - 11 - 14 - 15 - 19 - 26 - 30 - 31 - 33 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 105 - 106 - 107 - 112 - 113 - 115 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 142 - 145 - 147 - 150,221160.0,56.1,19144.0,23106.0
6 - 7 - 10 - 11 - 14 - 15 - 19 - 26 - 30 - 31 - 33 - 37 - 39 - 43 - 44 - 45 - 47 - 48 - 51 - 55 - 58 - 59 - 60 - 62 - 66 - 70 - 71 - 73 - 76 - 77 - 78 - 79 - 80 - 83 - 84 - 85 - 86 - 87 - 91 - 92 - 95 - 103 - 105 - 106 - 107 - 109 - 112 - 118 - 119 - 121 - 126 - 130 - 133 - 135 - 136 - 137 - 140 - 143 - 145 - 147 - 150,226756.2,55.4,19109.0,23170.0
