Solution,MaxSum,MaxMin,Cost,Capacity
5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 43 - 45 - 48 - 50 - 51,55115.5,131.1,8255.0,7354.0
2 - 5 - 7 - 8 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 43 - 45 - 46 - 48 - 50 - 51,59077.3,129.2,8035.0,7021.0
2 - 5 - 7 - 8 - 9 - 10 - 11 - 13 - 14 - 18 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 38 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,59306.6,128.3,8129.0,7329.0
2 - 5 - 6 - 7 - 8 - 9 - 11 - 13 - 14 - 18 - 20 - 31 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50,38443.9,141.3,8209.0,7249.0
2 - 3 - 5 - 6 - 7 - 8 - 9 - 11 - 13 - 14 - 18 - 20 - 26 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 43 - 45 - 48 - 50,50308.6,134.6,8176.0,7651.0
2 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 18 - 19 - 20 - 23 - 26 - 27 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,72638.1,117.4,8289.0,7412.0
2 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 18 - 19 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,67940.7,117.5,8175.0,7310.0
2 - 3 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50 - 51,42645.4,140.2,8222.0,7208.0
2 - 3 - 5 - 6 - 7 - 8 - 9 - 11 - 13 - 14 - 18 - 20 - 26 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 43 - 45 - 48 - 50 - 51,54656.7,132.9,8232.0,7709.0
2 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 18 - 20 - 23 - 26 - 27 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,72697.8,116.5,8213.0,7350.0
2 - 3 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 43 - 45 - 48 - 50 - 51,46544.1,137.8,8242.0,7228.0
5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 30 - 31 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50,35509.3,144.3,8230.0,6808.0
5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 30 - 31 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50 - 51,39154.8,140.7,8286.0,6866.0
2 - 5 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 20 - 23 - 26 - 30 - 34 - 35 - 36 - 37 - 38 - 41 - 42 - 43 - 45 - 46 - 47 - 48 - 50 - 51,63467.8,127.9,8134.0,7412.0
5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 18 - 20 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50,32170.6,144.9,7611.0,6838.0
5 - 6 - 8 - 9 - 10 - 11 - 13 - 18 - 25 - 30 - 34 - 35 - 36 - 38 - 41 - 42 - 45 - 48 - 50,32021.6,145.5,8191.0,6804.0
5 - 6 - 7 - 8 - 9 - 10 - 11 - 13 - 20 - 25 - 34 - 35 - 36 - 38 - 42 - 45 - 50,25914.8,147.0,8336.0,6914.0
