Solution,MaxSum,MaxMin,Cost,Capacity
6 - 9 - 12 - 14 - 16 - 19 - 20 - 25 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 44 - 46 - 47 - 51,29252.8,109.0,10382.0,10096.0
2 - 3 - 4 - 5 - 6 - 11 - 12 - 16 - 18 - 19 - 20 - 23 - 26 - 28 - 30 - 34 - 37 - 38 - 40 - 41 - 42 - 44 - 45 - 47 - 48 - 49 - 51,51119.6,84.6,10505.0,9459.0
2 - 3 - 4 - 6 - 9 - 12 - 18 - 20 - 25 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 45 - 46 - 47 - 48 - 49 - 51,37947.6,105.8,10510.0,9246.0
2 - 3 - 4 - 5 - 6 - 11 - 12 - 16 - 18 - 19 - 20 - 23 - 25 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 41 - 45 - 46 - 47 - 48 - 49 - 51,51050.4,88.2,10452.0,9525.0
2 - 4 - 6 - 9 - 12 - 18 - 20 - 25 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 45 - 46 - 47 - 48 - 49 - 51,34874.6,106.9,10448.0,9157.0
7 - 9 - 12 - 14 - 18 - 20 - 23 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 44 - 46 - 47 - 51,26362.9,112.8,10303.0,9356.0
7 - 12 - 14 - 18 - 20 - 23 - 26 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 46 - 47 - 51,23866.2,114.0,10348.0,8641.0
3 - 4 - 5 - 6 - 11 - 12 - 16 - 18 - 19 - 20 - 23 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 41 - 45 - 46 - 47 - 48 - 49 - 51,47712.7,90.6,10474.0,9778.0
2 - 4 - 6 - 9 - 12 - 18 - 20 - 25 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 45 - 46 - 47 - 49 - 51,31824.7,107.0,10295.0,8889.0
7 - 12 - 14 - 18 - 23 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 39 - 44 - 46 - 47 - 51,21038.3,119.5,10362.0,8526.0
2 - 3 - 4 - 6 - 9 - 12 - 18 - 20 - 22 - 25 - 26 - 28 - 29 - 30 - 37 - 38 - 40 - 44 - 46 - 47 - 48 - 49 - 51,38317.3,104.3,10340.0,9362.0
6 - 9 - 12 - 14 - 18 - 20 - 25 - 28 - 29 - 30 - 34 - 37 - 38 - 39 - 40 - 44 - 46 - 47 - 49 - 51,29335.0,107.8,10341.0,9025.0
7 - 12 - 14 - 18 - 19 - 20 - 23 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 41 - 44 - 46 - 47 - 51,28971.2,110.2,10433.0,9168.0
3 - 4 - 5 - 6 - 9 - 12 - 16 - 18 - 19 - 20 - 23 - 26 - 28 - 29 - 30 - 34 - 37 - 38 - 40 - 41 - 45 - 46 - 47 - 48 - 49 - 51,47606.6,93.0,10516.0,10390.0
2 - 3 - 6 - 9 - 14 - 18 - 20 - 25 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 45 - 46 - 47 - 49 - 51,31649.6,107.5,10038.0,8551.0
7 - 9 - 12 - 17 - 24 - 26 - 28 - 29 - 36 - 37 - 38 - 44 - 47 - 51,14223.6,124.0,10380.0,8620.0
2 - 3 - 4 - 5 - 6 - 9 - 12 - 18 - 19 - 20 - 25 - 26 - 28 - 29 - 30 - 37 - 38 - 40 - 44 - 46 - 47 - 48 - 49 - 51,41649.1,99.8,10435.0,9377.0
7 - 9 - 12 - 14 - 18 - 20 - 23 - 26 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 47 - 51,23727.1,114.9,10365.0,9011.0
2 - 3 - 4 - 5 - 6 - 12 - 18 - 19 - 20 - 22 - 25 - 26 - 28 - 29 - 30 - 37 - 38 - 40 - 41 - 44 - 46 - 47 - 48 - 49 - 51,44831.5,99.0,10493.0,9206.0
2 - 3 - 4 - 6 - 9 - 12 - 18 - 20 - 25 - 26 - 28 - 29 - 30 - 37 - 38 - 40 - 44 - 45 - 46 - 47 - 48 - 49 - 51,38128.4,105.3,10384.0,9452.0
7 - 9 - 12 - 24 - 26 - 28 - 29 - 30 - 33 - 34 - 37 - 38 - 40 - 44 - 47 - 51,18764.2,123.8,10467.0,8625.0
2 - 3 - 4 - 5 - 6 - 9 - 12 - 18 - 20 - 22 - 25 - 26 - 28 - 29 - 30 - 37 - 38 - 40 - 44 - 46 - 47 - 48 - 49 - 51,41561.1,101.0,10363.0,9394.0
7 - 9 - 12 - 14 - 18 - 23 - 26 - 28 - 29 - 30 - 36 - 37 - 38 - 40 - 44 - 47 - 51,21215.9,116.1,10118.0,8564.0
6 - 7 - 9 - 12 - 17 - 23 - 24 - 26 - 28 - 29 - 30 - 34 - 38 - 40 - 44 - 47 - 51,21058.5,117.5,10466.0,8982.0
7 - 9 - 12 - 17 - 24 - 26 - 28 - 29 - 36 - 37 - 38 - 44 - 47,12273.8,125.4,10329.0,8554.0
